county,state,medianAge,medianAgeBucket,year
Autauga,AL,38.2,127,2019
Baldwin,AL,43.0,333,2019
Barbour,AL,40.4,213,2019
Bibb,AL,40.9,236,2019
Blount,AL,40.7,226,2019
Bullock,AL,40.2,201,2019
Butler,AL,40.8,232,2019
Calhoun,AL,39.6,178,2019
Chambers,AL,42.0,287,2019
Cherokee,AL,46.5,436,2019
Chilton,AL,38.7,144,2019
Choctaw,AL,46.3,431,2019
Clarke,AL,42.5,313,2019
Clay,AL,43.3,347,2019
Cleburne,AL,43.1,338,2019
Coffee,AL,39.3,166,2019
Colbert,AL,42.4,308,2019
Conecuh,AL,44.8,394,2019
Coosa,AL,48.4,465,2019
Covington,AL,43.3,347,2019
Crenshaw,AL,41.7,273,2019
Cullman,AL,40.8,232,2019
Dale,AL,37.3,102,2019
Dallas,AL,39.6,178,2019
DeKalb,AL,39.5,174,2019
Elmore,AL,38.7,144,2019
Escambia,AL,40.0,194,2019
Etowah,AL,41.4,261,2019
Fayette,AL,43.7,361,2019
Franklin,AL,38.6,140,2019
Geneva,AL,43.2,342,2019
Greene,AL,40.9,236,2019
Hale,AL,40.5,217,2019
Henry,AL,44.4,383,2019
Houston,AL,40.1,197,2019
Jackson,AL,43.1,338,2019
Jefferson,AL,37.7,111,2019
Lamar,AL,44.8,394,2019
Lauderdale,AL,41.0,242,2019
Lawrence,AL,42.4,308,2019
Lee,AL,31.9,20,2019
Limestone,AL,39.7,183,2019
Lowndes,AL,42.0,287,2019
Macon,AL,38.6,140,2019
Madison,AL,38.5,136,2019
Marengo,AL,42.2,299,2019
Marion,AL,44.3,380,2019
Marshall,AL,38.8,148,2019
Mobile,AL,37.9,119,2019
Monroe,AL,43.3,347,2019
Montgomery,AL,36.4,80,2019
Morgan,AL,40.6,221,2019
Perry,AL,36.9,92,2019
Pickens,AL,42.2,299,2019
Pike,AL,31.2,16,2019
Randolph,AL,43.4,350,2019
Russell,AL,36.3,77,2019
St. Clair,AL,40.3,208,2019
Shelby,AL,39.3,166,2019
Sumter,AL,35.6,62,2019
Talladega,AL,41.3,256,2019
Tallapoosa,AL,44.7,392,2019
Tuscaloosa,AL,33.0,29,2019
Walker,AL,42.1,292,2019
Washington,AL,43.7,361,2019
Wilcox,AL,40.5,217,2019
Winston,AL,45.2,407,2019
Aleutians East,AK,42.5,313,2019
Aleutians West,AK,38.6,140,2019
Anchorage,AK,33.6,35,2019
Bethel,AK,27.3,3,2019
Bristol Bay,AK,42.9,330,2019
Denali,AK,42.1,292,2019
Dillingham,AK,30.2,10,2019
Fairbanks North Star,AK,31.3,16,2019
Haines,AK,44.7,392,2019
Hoonah-Angoon,AK,49.6,476,2019
Juneau City,AK,38.1,124,2019
Kenai Peninsula,AK,40.8,232,2019
Ketchikan Gateway,AK,39.7,183,2019
Kodiak,AK,33.9,37,2019
Kusilvak,AK,24.1,0,2019
Lake and Peninsula,AK,34.8,48,2019
Matanuska-Susitna,AK,35.2,53,2019
Nome,AK,28.3,6,2019
North Slope,AK,35.2,53,2019
Northwest Arctic,AK,27.8,4,2019
Petersburg,AK,42.8,324,2019
Prince of Wales-Hyder,AK,41.3,256,2019
Sitka City,AK,39.5,174,2019
Skagway,AK,40.4,213,2019
Southeast Fairbanks,AK,36.8,89,2019
Valdez-Cordova,AK,38.1,124,2019
Wrangell City,AK,49.4,475,2019
Yakutat City,AK,36.9,92,2019
Yukon-Koyukuk,AK,35.2,53,2019
Apache,AZ,35.0,50,2019
Cochise,AZ,41.1,247,2019
Coconino,AZ,30.7,13,2019
Gila,AZ,50.2,481,2019
Graham,AZ,33.6,35,2019
Greenlee,AZ,34.5,45,2019
La Paz,AZ,56.5,508,2019
Maricopa,AZ,36.4,80,2019
Mohave,AZ,51.6,492,2019
Navajo,AZ,37.3,102,2019
Pima,AZ,38.5,136,2019
Pinal,AZ,39.3,166,2019
Santa Cruz,AZ,36.7,87,2019
Yavapai,AZ,53.4,501,2019
Yuma,AZ,34.6,46,2019
Arkansas,AR,40.7,226,2019
Ashley,AR,41.7,273,2019
Baxter,AR,52.2,495,2019
Benton,AR,35.4,58,2019
Boone,AR,42.3,304,2019
Bradley,AR,40.6,221,2019
Calhoun,AR,44.5,387,2019
Carroll,AR,45.0,400,2019
Chicot,AR,43.3,347,2019
Clark,AR,33.7,35,2019
Clay,AR,42.8,324,2019
Cleburne,AR,49.4,475,2019
Cleveland,AR,42.9,330,2019
Columbia,AR,35.7,65,2019
Conway,AR,42.5,313,2019
Craighead,AR,34.2,41,2019
Crawford,AR,38.6,140,2019
Crittenden,AR,35.2,53,2019
Cross,AR,40.9,236,2019
Dallas,AR,43.9,366,2019
Desha,AR,40.1,197,2019
Drew,AR,37.4,103,2019
Faulkner,AR,32.8,27,2019
Franklin,AR,41.2,251,2019
Fulton,AR,48.4,465,2019
Garland,AR,45.0,400,2019
Grant,AR,41.0,242,2019
Greene,AR,38.0,121,2019
Hempstead,AR,40.4,213,2019
Hot Spring,AR,41.3,256,2019
Howard,AR,39.2,163,2019
Independence,AR,39.3,166,2019
Izard,AR,47.9,458,2019
Jackson,AR,39.7,183,2019
Jefferson,AR,38.7,144,2019
Johnson,AR,38.4,133,2019
Lafayette,AR,47.0,445,2019
Lawrence,AR,40.8,232,2019
Lee,AR,42.5,313,2019
Lincoln,AR,39.0,155,2019
Little River,AR,42.9,330,2019
Logan,AR,42.0,287,2019
Lonoke,AR,36.2,76,2019
Madison,AR,42.7,320,2019
Marion,AR,52.2,495,2019
Miller,AR,39.5,174,2019
Mississippi,AR,36.6,85,2019
Monroe,AR,47.3,450,2019
Montgomery,AR,50.4,483,2019
Nevada,AR,44.3,380,2019
Newton,AR,49.0,471,2019
Ouachita,AR,43.0,333,2019
Perry,AR,43.7,361,2019
Phillips,AR,38.9,151,2019
Pike,AR,43.1,338,2019
Poinsett,AR,40.1,197,2019
Polk,AR,43.9,366,2019
Pope,AR,35.3,56,2019
Prairie,AR,47.2,448,2019
Pulaski,AR,37.2,100,2019
Randolph,AR,41.1,247,2019
St. Francis,AR,38.8,148,2019
Saline,AR,39.6,178,2019
Scott,AR,40.7,226,2019
Searcy,AR,47.9,458,2019
Sebastian,AR,37.6,107,2019
Sevier,AR,35.3,56,2019
Sharp,AR,47.6,454,2019
Stone,AR,50.1,480,2019
Union,AR,40.3,208,2019
Van Buren,AR,48.0,459,2019
Washington,AR,32.0,21,2019
White,AR,36.9,92,2019
Woodruff,AR,45.5,414,2019
Yell,AR,40.3,208,2019
Alameda,CA,37.6,107,2019
Alpine,CA,52.2,495,2019
Amador,CA,50.5,484,2019
Butte,CA,37.1,97,2019
Calaveras,CA,52.0,494,2019
Colusa,CA,35.3,56,2019
Contra Costa,CA,39.7,183,2019
Del Norte,CA,39.5,174,2019
El Dorado,CA,45.9,422,2019
Fresno,CA,32.2,22,2019
Glenn,CA,36.4,80,2019
Humboldt,CA,38.4,133,2019
Imperial,CA,32.4,23,2019
Inyo,CA,45.8,420,2019
Kern,CA,31.6,18,2019
Kings,CA,31.8,20,2019
Lake,CA,45.6,416,2019
Lassen,CA,36.6,85,2019
Los Angeles,CA,36.5,82,2019
Madera,CA,34.1,40,2019
Marin,CA,46.8,441,2019
Mariposa,CA,51.7,492,2019
Mendocino,CA,43.1,338,2019
Merced,CA,31.1,15,2019
Modoc,CA,47.8,456,2019
Mono,CA,37.7,111,2019
Monterey,CA,34.4,44,2019
Napa,CA,41.3,256,2019
Nevada,CA,50.5,484,2019
Orange,CA,38.1,124,2019
Placer,CA,42.0,287,2019
Plumas,CA,52.3,496,2019
Riverside,CA,35.6,62,2019
Sacramento,CA,36.2,76,2019
San Benito,CA,35.7,65,2019
San Bernardino,CA,33.3,31,2019
San Diego,CA,35.8,67,2019
San Francisco,CA,38.2,127,2019
San Joaquin,CA,34.3,42,2019
San Luis Obispo,CA,39.2,163,2019
San Mateo,CA,39.7,183,2019
Santa Barbara,CA,33.8,36,2019
Santa Clara,CA,37.1,97,2019
Santa Cruz,CA,37.8,115,2019
Shasta,CA,41.5,265,2019
Sierra,CA,54.8,505,2019
Siskiyou,CA,47.8,456,2019
Solano,CA,38.1,124,2019
Sonoma,CA,42.1,292,2019
Stanislaus,CA,34.1,40,2019
Sutter,CA,35.7,65,2019
Tehama,CA,41.0,242,2019
Trinity,CA,52.5,497,2019
Tulare,CA,31.0,14,2019
Tuolumne,CA,48.4,465,2019
Ventura,CA,38.1,124,2019
Yolo,CA,31.0,14,2019
Yuba,CA,32.8,27,2019
Adams,CO,33.8,36,2019
Alamosa,CO,31.8,20,2019
Arapahoe,CO,36.6,85,2019
Archuleta,CO,50.9,487,2019
Baca,CO,46.0,424,2019
Bent,CO,40.2,201,2019
Boulder,CO,36.6,85,2019
Broomfield,CO,37.8,115,2019
Chaffee,CO,49.2,473,2019
Cheyenne,CO,39.4,171,2019
Clear Creek,CO,48.1,462,2019
Conejos,CO,38.8,148,2019
Costilla,CO,51.9,493,2019
Crowley,CO,35.4,58,2019
Custer,CO,59.7,511,2019
Delta,CO,47.3,450,2019
Denver,CO,34.5,45,2019
Dolores,CO,48.8,469,2019
Douglas,CO,38.7,144,2019
Eagle,CO,37.0,95,2019
Elbert,CO,46.1,425,2019
El Paso,CO,34.2,41,2019
Fremont,CO,45.1,403,2019
Garfield,CO,36.5,82,2019
Gilpin,CO,49.0,471,2019
Grand,CO,42.9,330,2019
Gunnison,CO,34.5,45,2019
Hinsdale,CO,56.1,508,2019
Huerfano,CO,55.0,505,2019
Jackson,CO,51.6,492,2019
Jefferson,CO,40.3,208,2019
Kiowa,CO,42.5,313,2019
Kit Carson,CO,38.3,130,2019
Lake,CO,36.7,87,2019
La Plata,CO,40.4,213,2019
Larimer,CO,36.0,71,2019
Las Animas,CO,45.9,422,2019
Lincoln,CO,38.0,121,2019
Logan,CO,38.2,127,2019
Mesa,CO,39.7,183,2019
Mineral,CO,56.1,508,2019
Moffat,CO,36.6,85,2019
Montezuma,CO,45.2,407,2019
Montrose,CO,45.2,407,2019
Morgan,CO,36.2,76,2019
Otero,CO,39.9,190,2019
Ouray,CO,54.1,503,2019
Park,CO,50.7,485,2019
Phillips,CO,37.1,97,2019
Pitkin,CO,41.8,278,2019
Prowers,CO,38.3,130,2019
Pueblo,CO,39.3,166,2019
Rio Blanco,CO,36.9,92,2019
Rio Grande,CO,42.1,292,2019
Routt,CO,40.2,201,2019
Saguache,CO,49.0,471,2019
San Juan,CO,51.2,489,2019
San Miguel,CO,41.8,278,2019
Sedgwick,CO,44.1,374,2019
Summit,CO,39.1,159,2019
Teller,CO,50.0,478,2019
Washington,CO,41.6,269,2019
Weld,CO,34.4,44,2019
Yuma,CO,37.8,115,2019
Fairfield,CT,40.6,221,2019
Hartford,CT,40.4,213,2019
Litchfield,CT,47.3,450,2019
Middlesex,CT,45.7,418,2019
New Haven,CT,40.3,208,2019
New London,CT,41.4,261,2019
Tolland,CT,37.7,111,2019
Windham,CT,41.2,251,2019
Kent,DE,37.7,111,2019
New Castle,DE,38.4,133,2019
Sussex,DE,49.6,476,2019
District of,,34.0,39,2019
Alachua,FL,31.6,18,2019
Baker,FL,37.7,111,2019
Bay,FL,39.8,186,2019
Bradford,FL,39.7,183,2019
Brevard,FL,47.3,450,2019
Broward,FL,40.4,213,2019
Calhoun,FL,41.6,269,2019
Charlotte,FL,59.1,511,2019
Citrus,FL,56.5,508,2019
Clay,FL,39.7,183,2019
Collier,FL,50.8,486,2019
Columbia,FL,40.4,213,2019
DeSoto,FL,40.9,236,2019
Dixie,FL,46.5,436,2019
Duval,FL,36.2,76,2019
Escambia,FL,37.2,100,2019
Flagler,FL,51.3,490,2019
Franklin,FL,46.4,433,2019
Gadsden,FL,40.8,232,2019
Gilchrist,FL,42.1,292,2019
Glades,FL,47.9,458,2019
Gulf,FL,44.9,397,2019
Hamilton,FL,40.9,236,2019
Hardee,FL,35.4,58,2019
Hendry,FL,34.0,39,2019
Hernando,FL,49.0,471,2019
Highlands,FL,53.5,501,2019
Hillsborough,FL,37.2,100,2019
Holmes,FL,42.7,320,2019
Indian River,FL,53.5,501,2019
Jackson,FL,41.7,273,2019
Jefferson,FL,48.0,459,2019
Lafayette,FL,37.3,102,2019
Lake,FL,46.9,443,2019
Lee,FL,48.5,466,2019
Leon,FL,31.0,14,2019
Levy,FL,46.9,443,2019
Liberty,FL,40.7,226,2019
Madison,FL,43.5,354,2019
Manatee,FL,48.3,464,2019
Marion,FL,48.7,468,2019
Martin,FL,52.2,495,2019
Miami-Dade,FL,39.9,190,2019
Monroe,FL,47.7,455,2019
Nassau,FL,45.3,409,2019
Okaloosa,FL,36.9,92,2019
Okeechobee,FL,41.1,247,2019
Orange,FL,35.1,51,2019
Osceola,FL,35.9,69,2019
Palm Beach,FL,44.8,394,2019
Pasco,FL,44.5,387,2019
Pinellas,FL,48.1,462,2019
Polk,FL,40.2,201,2019
Putnam,FL,45.1,403,2019
St. Johns,FL,43.7,361,2019
St. Lucie,FL,45.1,403,2019
Santa Rosa,FL,39.9,190,2019
Sarasota,FL,56.1,508,2019
Seminole,FL,39.2,163,2019
Sumter,FL,67.4,511,2019
Suwannee,FL,43.3,347,2019
Taylor,FL,42.0,287,2019
Union,FL,39.3,166,2019
Volusia,FL,46.6,438,2019
Wakulla,FL,40.6,221,2019
Walton,FL,44.0,370,2019
Washington,FL,41.5,265,2019
Appling,GA,40.3,208,2019
Atkinson,GA,36.4,80,2019
Bacon,GA,36.7,87,2019
Baker,GA,46.1,425,2019
Baldwin,GA,35.5,60,2019
Banks,GA,41.1,247,2019
Barrow,GA,35.7,65,2019
Bartow,GA,38.1,124,2019
Ben Hill,GA,39.9,190,2019
Berrien,GA,39.6,178,2019
Bibb,GA,36.4,80,2019
Bleckley,GA,35.8,67,2019
Brantley,GA,41.1,247,2019
Brooks,GA,42.0,287,2019
Bryan,GA,34.6,46,2019
Bulloch,GA,28.8,7,2019
Burke,GA,37.4,103,2019
Butts,GA,38.6,140,2019
Calhoun,GA,39.6,178,2019
Camden,GA,32.8,27,2019
Candler,GA,38.7,144,2019
Carroll,GA,34.8,48,2019
Catoosa,GA,40.4,213,2019
Charlton,GA,41.2,251,2019
Chatham,GA,35.6,62,2019
Chattahoochee,GA,24.5,0,2019
Chattooga,GA,39.4,171,2019
Cherokee,GA,38.7,144,2019
Clarke,GA,28.0,4,2019
Clay,GA,49.8,477,2019
Clayton,GA,32.5,24,2019
Clinch,GA,39.9,190,2019
Cobb,GA,36.7,87,2019
Coffee,GA,36.3,77,2019
Colquitt,GA,36.8,89,2019
Columbia,GA,36.9,92,2019
Cook,GA,37.3,102,2019
Coweta,GA,39.0,155,2019
Crawford,GA,44.4,383,2019
Crisp,GA,38.5,136,2019
Dade,GA,42.6,317,2019
Dawson,GA,43.6,356,2019
Decatur,GA,37.8,115,2019
DeKalb,GA,35.8,67,2019
Dodge,GA,41.8,278,2019
Dooly,GA,43.2,342,2019
Dougherty,GA,35.6,62,2019
Douglas,GA,36.5,82,2019
Early,GA,39.9,190,2019
Echols,GA,40.6,221,2019
Effingham,GA,36.0,71,2019
Elbert,GA,42.6,317,2019
Emanuel,GA,36.9,92,2019
Evans,GA,37.6,107,2019
Fannin,GA,52.1,494,2019
Fayette,GA,43.4,350,2019
Floyd,GA,38.3,130,2019
Forsyth,GA,38.5,136,2019
Franklin,GA,41.2,251,2019
Fulton,GA,35.5,60,2019
Gilmer,GA,47.2,448,2019
Glascock,GA,42.7,320,2019
Glynn,GA,41.6,269,2019
Gordon,GA,38.4,133,2019
Grady,GA,40.3,208,2019
Greene,GA,50.2,481,2019
Gwinnett,GA,35.3,56,2019
Habersham,GA,39.7,183,2019
Hall,GA,36.7,87,2019
Hancock,GA,45.6,416,2019
Haralson,GA,40.4,213,2019
Harris,GA,42.9,330,2019
Hart,GA,44.1,374,2019
Heard,GA,41.9,282,2019
Henry,GA,36.9,92,2019
Houston,GA,35.4,58,2019
Irwin,GA,39.7,183,2019
Jackson,GA,38.1,124,2019
Jasper,GA,43.0,333,2019
Jeff Davis,GA,36.6,85,2019
Jefferson,GA,40.0,194,2019
Jenkins,GA,44.3,380,2019
Johnson,GA,41.8,278,2019
Jones,GA,40.4,213,2019
Lamar,GA,37.8,115,2019
Lanier,GA,35.6,62,2019
Laurens,GA,38.9,151,2019
Lee,GA,37.2,100,2019
Liberty,GA,28.4,6,2019
Lincoln,GA,47.1,446,2019
Long,GA,32.9,28,2019
Lowndes,GA,30.5,12,2019
Lumpkin,GA,37.0,95,2019
McDuffie,GA,37.7,111,2019
McIntosh,GA,49.4,475,2019
Macon,GA,40.3,208,2019
Madison,GA,41.1,247,2019
Marion,GA,44.6,390,2019
Meriwether,GA,42.3,304,2019
Miller,GA,43.5,354,2019
Mitchell,GA,39.0,155,2019
Monroe,GA,42.9,330,2019
Montgomery,GA,40.0,194,2019
Morgan,GA,44.6,390,2019
Murray,GA,38.2,127,2019
Muscogee,GA,34.0,39,2019
Newton,GA,36.4,80,2019
Oconee,GA,40.4,213,2019
Oglethorpe,GA,42.4,308,2019
Paulding,GA,36.0,71,2019
Peach,GA,37.9,119,2019
Pickens,GA,45.4,412,2019
Pierce,GA,39.4,171,2019
Pike,GA,40.4,213,2019
Polk,GA,37.0,95,2019
Pulaski,GA,43.1,338,2019
Putnam,GA,46.2,428,2019
Quitman,GA,47.3,450,2019
Rabun,GA,49.2,473,2019
Randolph,GA,41.0,242,2019
Richmond,GA,34.1,40,2019
Rockdale,GA,38.1,124,2019
Schley,GA,37.8,115,2019
Screven,GA,41.4,261,2019
Seminole,GA,44.9,397,2019
Spalding,GA,39.2,163,2019
Stephens,GA,41.8,278,2019
Stewart,GA,35.4,58,2019
Sumter,GA,35.7,65,2019
Talbot,GA,50.1,480,2019
Taliaferro,GA,44.2,377,2019
Tattnall,GA,37.3,102,2019
Taylor,GA,45.2,407,2019
Telfair,GA,41.5,265,2019
Terrell,GA,41.1,247,2019
Thomas,GA,40.4,213,2019
Tift,GA,36.2,76,2019
Toombs,GA,36.4,80,2019
Towns,GA,54.0,503,2019
Treutlen,GA,40.1,197,2019
Troup,GA,36.4,80,2019
Turner,GA,40.3,208,2019
Twiggs,GA,45.7,418,2019
Union,GA,54.3,504,2019
Upson,GA,42.1,292,2019
Walker,GA,41.4,261,2019
Walton,GA,38.7,144,2019
Ware,GA,39.5,174,2019
Warren,GA,45.1,403,2019
Washington,GA,41.5,265,2019
Wayne,GA,38.9,151,2019
Webster,GA,45.1,403,2019
Wheeler,GA,38.8,148,2019
White,GA,46.1,425,2019
Whitfield,GA,36.0,71,2019
Wilcox,GA,39.8,186,2019
Wilkes,GA,45.1,403,2019
Wilkinson,GA,42.6,317,2019
Worth,GA,41.6,269,2019
Hawaii,HI,42.7,320,2019
Honolulu,HI,37.9,119,2019
Kalawao,HI,57.4,509,2019
Kauai,HI,42.6,317,2019
Maui,HI,41.2,251,2019
Ada,ID,37.0,95,2019
Adams,ID,55.2,506,2019
Bannock,ID,33.8,36,2019
Bear Lake,ID,39.6,178,2019
Benewah,ID,46.2,428,2019
Bingham,ID,33.6,35,2019
Blaine,ID,43.2,342,2019
Boise,ID,54.0,503,2019
Bonner,ID,47.9,458,2019
Bonneville,ID,32.9,28,2019
Boundary,ID,43.5,354,2019
Butte,ID,45.2,407,2019
Camas,ID,44.5,387,2019
Canyon,ID,33.6,35,2019
Caribou,ID,36.9,92,2019
Cassia,ID,32.9,28,2019
Clark,ID,33.2,30,2019
Clearwater,ID,50.4,483,2019
Custer,ID,53.0,499,2019
Elmore,ID,32.3,23,2019
Franklin,ID,32.8,27,2019
Fremont,ID,37.6,107,2019
Gem,ID,44.6,390,2019
Gooding,ID,38.7,144,2019
Idaho,ID,50.2,481,2019
Jefferson,ID,31.5,17,2019
Jerome,ID,32.7,26,2019
Kootenai,ID,40.2,201,2019
Latah,ID,28.7,6,2019
Lemhi,ID,52.1,494,2019
Lewis,ID,48.6,467,2019
Lincoln,ID,35.1,51,2019
Madison,ID,23.5,0,2019
Minidoka,ID,35.2,53,2019
Nez Perce,ID,40.8,232,2019
Oneida,ID,38.6,140,2019
Owyhee,ID,38.9,151,2019
Payette,ID,40.4,213,2019
Power,ID,38.3,130,2019
Shoshone,ID,47.3,450,2019
Teton,ID,37.2,100,2019
Twin Falls,ID,34.7,47,2019
Valley,ID,50.6,484,2019
Washington,ID,45.4,412,2019
Adams,IL,41.5,265,2019
Alexander,IL,45.3,409,2019
Bond,IL,41.6,269,2019
Boone,IL,38.5,136,2019
Brown,IL,38.9,151,2019
Bureau,IL,44.4,383,2019
Calhoun,IL,46.8,441,2019
Carroll,IL,48.3,464,2019
Cass,IL,40.0,194,2019
Champaign,IL,30.1,10,2019
Christian,IL,43.4,350,2019
Clark,IL,42.3,304,2019
Clay,IL,42.6,317,2019
Clinton,IL,40.6,221,2019
Coles,IL,35.7,65,2019
Cook,IL,36.8,89,2019
Crawford,IL,41.8,278,2019
Cumberland,IL,42.5,313,2019
DeKalb,IL,31.1,15,2019
De Witt,IL,43.6,356,2019
Douglas,IL,37.8,115,2019
DuPage,IL,39.3,166,2019
Edgar,IL,45.2,407,2019
Edwards,IL,43.5,354,2019
Effingham,IL,39.4,171,2019
Fayette,IL,41.9,282,2019
Ford,IL,43.4,350,2019
Franklin,IL,42.8,324,2019
Fulton,IL,43.2,342,2019
Gallatin,IL,45.6,416,2019
Greene,IL,42.5,313,2019
Grundy,IL,37.9,119,2019
Hamilton,IL,43.6,356,2019
Hancock,IL,46.0,424,2019
Hardin,IL,46.8,441,2019
Henderson,IL,50.0,478,2019
Henry,IL,43.1,338,2019
Iroquois,IL,44.4,383,2019
Jackson,IL,31.9,20,2019
Jasper,IL,43.1,338,2019
Jefferson,IL,40.9,236,2019
Jersey,IL,42.9,330,2019
Jo Daviess,IL,49.9,477,2019
Johnson,IL,43.7,361,2019
Kane,IL,37.3,102,2019
Kankakee,IL,37.7,111,2019
